                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8655,                 1.8243,                  1.193,                 2.1069,                 2.4734,                 1.1293,                0.55828,                0.03674,                0.04289,                0.01665,                 2.5059,                 4.7044,                 1.7444,                 2.4987,                 5.1099,                 1.4796,               0.066964,             3.3069e-05,             3.3069e-05
                      2,                  1.657,                 1.2555,                  1.084,                 1.8951,                 1.5893,                 1.0426,                0.76751,                0.29259,                0.32938,                0.17307,                 1.7597,                 1.3882,                 1.1272,                 1.8542,                 1.7014,                 1.0692,               0.033664,             6.6183e-05,             6.6183e-05
                      3,                 1.5637,                 1.0992,                  1.048,                 1.8253,                 1.3665,                 1.0161,                0.79845,                0.34778,                0.37827,                0.19562,                 1.5518,                 1.2419,                 1.0442,                 1.7282,                 1.4602,                 1.0221,             0.00036363,             9.9077e-05,             9.9077e-05
                      4,                 1.5075,                  1.021,                   1.03,                 1.7565,                 1.2543,                 1.0018,                 0.8668,                0.41266,                 0.4795,                0.26317,                 1.4619,                0.93615,                 1.0016,                 1.6609,                 1.0991,                0.99904,              9.901e-05,              9.901e-05,              9.901e-05
                      5,                 1.4401,                0.92318,                 1.0022,                 1.6945,                 1.1293,                0.98503,                0.78895,                0.44789,                0.49827,                0.28476,                 1.4084,                0.97576,                 0.9944,                 1.5873,                 1.1542,                0.98943,              9.901e-05,              9.901e-05,              9.901e-05
                      6,                 1.4213,                0.89862,                 1.0026,                 1.6679,                 1.0827,                0.98769,                0.56184,                  0.509,                0.51331,                0.29355,                 1.4068,                0.90837,                0.99395,                 1.5754,                 1.0693,                0.99332,              9.868e-05,              9.868e-05,              9.868e-05
                      7,                 1.3908,                0.86177,                0.98796,                 1.6398,                 1.0423,                0.97643,                0.61638,                0.51336,                0.56566,                0.33767,                 1.3477,                0.84086,                0.97195,                 1.5197,                0.97046,                0.96914,              9.835e-05,              9.835e-05,              9.835e-05
                      8,                 1.3793,                0.82843,                0.97998,                 1.6304,                 1.0001,                0.96865,                0.64025,                0.55355,                0.58278,                0.35107,                 1.3411,                 0.8032,                0.96698,                  1.535,                0.95046,                0.97251,              9.802e-05,              9.802e-05,              9.802e-05
                      9,                 1.3663,                0.81906,                0.98209,                 1.6085,                0.97483,                0.96898,                0.65095,                0.57077,                0.61333,                0.35425,                 1.3422,                0.76106,                0.96545,                 1.5212,                0.84673,                0.96678,              9.769e-05,              9.769e-05,              9.769e-05
                     10,                 1.3552,                0.80099,                0.97451,                  1.607,                0.95423,                0.96332,                0.58887,                0.52129,                0.54375,                0.31788,                 1.3141,                0.80584,                0.96287,                 1.5092,                0.91685,                0.96764,              9.736e-05,              9.736e-05,              9.736e-05
                     11,                 1.3255,                0.76329,                0.96604,                   1.58,                0.91567,                0.95528,                0.71618,                0.55079,                0.60496,                 0.3273,                 1.4534,                0.98828,                 1.0082,                 1.6247,                 1.1407,                0.99468,              9.703e-05,              9.703e-05,              9.703e-05
                     12,                 1.3149,                0.75369,                0.96326,                 1.5764,                0.88276,                0.95679,                0.67214,                0.41506,                0.51068,                0.29395,                 1.4691,                 1.1637,                 1.0266,                 1.6398,                 1.4512,                 1.0185,               9.67e-05,               9.67e-05,               9.67e-05
                     13,                  1.311,                0.74953,                 0.9674,                 1.5536,                0.88179,                0.95827,                0.64802,                0.51415,                0.61081,                0.38041,                 1.3492,                0.81342,                0.96568,                 1.5482,                0.98606,                0.96963,              9.637e-05,              9.637e-05,              9.637e-05
                     14,                  1.289,                0.73032,                0.96278,                 1.5345,                0.84786,                0.95547,                 0.7562,                  0.538,                0.63561,                0.37167,                 1.3357,                0.75024,                0.95736,                 1.5084,                0.81481,                0.95994,              9.604e-05,              9.604e-05,              9.604e-05
                     15,                 1.2942,                0.72468,                0.95944,                 1.5482,                0.85262,                0.95118,                 0.7588,                0.57544,                0.64487,                0.38409,                 1.2785,                0.71198,                0.94616,                 1.4623,                0.83191,                0.95292,              9.571e-05,              9.571e-05,              9.571e-05
                     16,                 1.2738,                0.71276,                0.95556,                 1.5218,                0.82745,                0.94828,                0.58816,                 0.5665,                0.60987,                0.36434,                 1.3565,                0.78547,                0.96398,                  1.536,                0.92346,                0.96566,              9.538e-05,              9.538e-05,              9.538e-05
                     17,                 1.2777,                0.70868,                0.95046,                  1.532,                0.82794,                0.94437,                0.78861,                0.70454,                0.72324,                0.44571,                 1.2736,                0.71276,                0.94308,                 1.4552,                0.75293,                0.94724,              9.505e-05,              9.505e-05,              9.505e-05
                     18,                 1.2634,                0.70333,                0.94715,                 1.5127,                0.81468,                0.94197,                0.82236,                0.63806,                0.69927,                0.45348,                 1.3088,                 0.7302,                 0.9568,                 1.4928,                0.83979,                0.96277,              9.472e-05,              9.472e-05,              9.472e-05
                     19,                 1.2615,                0.68984,                0.94539,                 1.5132,                0.78238,                0.93892,                0.76897,                0.71881,                0.72539,                0.46285,                 1.2549,                0.67322,                0.94176,                 1.4388,                0.73041,                 0.9469,              9.439e-05,              9.439e-05,              9.439e-05
                     20,                 1.2516,                0.68316,                0.94254,                  1.503,                 0.7911,                0.93798,                0.70983,                0.66213,                0.68557,                0.42422,                 1.2771,                0.70932,                0.94438,                 1.4402,                0.80065,                0.94735,              9.406e-05,              9.406e-05,              9.406e-05
                     21,                 1.2461,                0.67125,                 0.9431,                 1.4915,                0.77466,                0.94016,                0.75115,                0.63262,                 0.6677,                0.40254,                 1.2846,                0.70102,                0.94519,                 1.4732,                0.75561,                0.95086,              9.373e-05,              9.373e-05,              9.373e-05
                     22,                 1.2437,                   0.67,                0.94543,                 1.4915,                0.75849,                0.94136,                0.70757,                0.66277,                0.70956,                  0.463,                 1.2584,                0.68631,                0.94082,                 1.4331,                0.70515,                0.94225,               9.34e-05,               9.34e-05,               9.34e-05
                     23,                 1.2195,                0.65546,                0.93783,                 1.4761,                 0.7413,                0.93529,                0.79408,                0.59613,                0.69196,                0.41231,                 1.2827,                0.69215,                0.94845,                 1.4598,                0.72816,                0.95385,              9.307e-05,              9.307e-05,              9.307e-05
                     24,                 1.2396,                0.66641,                 0.9404,                 1.5005,                0.76099,                 0.9354,                0.76295,                0.62716,                0.67649,                0.42714,                 1.2469,                 0.6587,                0.93745,                  1.428,                0.71887,                0.94028,              9.274e-05,              9.274e-05,              9.274e-05
                     25,                 1.2104,                0.64837,                0.93291,                 1.4607,                0.73698,                0.92986,                 0.7761,                0.66717,                0.72658,                0.46405,                 1.2964,                0.68513,                 0.9493,                 1.4612,                0.75602,                0.95241,              9.241e-05,              9.241e-05,              9.241e-05
                     26,                 1.2059,                0.64425,                0.93075,                 1.4581,                0.73067,                0.92806,                0.67282,                0.60835,                0.66959,                0.41717,                 1.2608,                0.65857,                0.93645,                 1.4511,                0.71084,                0.94315,              9.208e-05,              9.208e-05,              9.208e-05
                     27,                 1.2093,                0.64717,                0.93496,                 1.4529,                0.73487,                0.93074,                0.78413,                0.63801,                0.68213,                0.41417,                 1.2493,                0.67776,                 0.9361,                 1.4282,                0.71211,                0.94338,              9.175e-05,              9.175e-05,              9.175e-05
                     28,                  1.202,                0.63808,                0.93244,                 1.4525,                0.72344,                0.92898,                0.74585,                0.66204,                0.71904,                0.45564,                 1.2351,                0.64465,                0.93136,                 1.4262,                0.69187,                0.93715,              9.142e-05,              9.142e-05,              9.142e-05
                     29,                 1.1939,                0.63311,                0.92537,                 1.4498,                0.71077,                0.92568,                0.74437,                0.59569,                0.65295,                0.41549,                 1.2768,                 0.6563,                0.93582,                 1.4689,                 0.6999,                  0.945,              9.109e-05,              9.109e-05,              9.109e-05
                     30,                 1.1932,                  0.626,                 0.9245,                 1.4639,                0.70853,                0.92236,                0.82582,                0.63869,                0.72042,                0.44495,                 1.2494,                 0.6407,                0.93916,                 1.4139,                0.67585,                0.94487,              9.076e-05,              9.076e-05,              9.076e-05
                     31,                 1.2004,                0.62528,                0.92716,                 1.4564,                0.70231,                0.92528,                0.78178,                0.67003,                 0.7327,                0.45052,                 1.2701,                0.63377,                  0.942,                 1.4611,                  0.674,                0.94738,              9.043e-05,              9.043e-05,              9.043e-05
                     32,                 1.1689,                 0.6111,                0.92347,                 1.4279,                0.67329,                0.92381,                0.78641,                0.67952,                0.71255,                0.44712,                 1.2369,                0.62602,                0.93438,                 1.4123,                0.63149,                0.94279,               9.01e-05,               9.01e-05,               9.01e-05
                     33,                 1.1703,                0.61153,                0.92382,                   1.41,                0.67562,                0.92335,                0.80961,                0.73507,                0.74769,                0.48998,                 1.2172,                0.63336,                0.93069,                 1.3917,                0.70807,                0.93782,              8.977e-05,              8.977e-05,              8.977e-05
                     34,                 1.1724,                0.60489,                0.91987,                 1.4211,                 0.6812,                0.91995,                 0.7661,                 0.6445,                0.67987,                0.42252,                 1.2402,                0.62817,                 0.9363,                 1.4253,                0.65036,                0.94598,              8.944e-05,              8.944e-05,              8.944e-05
                     35,                  1.163,                0.59778,                0.92141,                 1.4184,                0.66032,                0.92051,                0.83531,                0.68791,                0.73855,                0.46369,                 1.2673,                0.62733,                0.93969,                 1.4513,                0.66403,                0.94922,              8.911e-05,              8.911e-05,              8.911e-05
                     36,                 1.1644,                0.60213,                0.92297,                 1.4216,                0.67385,                0.92046,                0.79877,                0.68824,                0.72901,                0.47375,                 1.2335,                0.60861,                0.93432,                 1.4027,                0.62603,                0.93708,              8.878e-05,              8.878e-05,              8.878e-05
                     37,                 1.1548,                 0.5938,                0.92002,                 1.4143,                0.65897,                0.91958,                0.78509,                0.68122,                0.68766,                0.43402,                 1.2493,                0.65039,                0.93498,                 1.4091,                0.67832,                0.94051,              8.845e-05,              8.845e-05,              8.845e-05
                     38,                 1.1695,                0.59846,                0.92066,                 1.4184,                0.66109,                0.92022,                 0.7615,                0.70566,                0.73827,                0.46055,                 1.2731,                0.63617,                0.94496,                 1.4454,                0.66236,                0.95065,              8.812e-05,              8.812e-05,              8.812e-05
                     39,                 1.1669,                0.59572,                0.92265,                 1.4159,                0.65734,                0.92092,                0.84448,                0.68097,                 0.7404,                 0.4358,                 1.2907,                0.64758,                0.94556,                 1.4677,                 0.6997,                0.95034,              8.779e-05,              8.779e-05,              8.779e-05
                     40,                 1.1384,                0.57995,                0.91123,                 1.4058,                0.64587,                0.91187,                0.70199,                0.71984,                0.72717,                0.47395,                 1.2308,                0.60273,                 0.9312,                 1.4063,                0.63943,                0.93678,              8.746e-05,              8.746e-05,              8.746e-05
                     41,                 1.1557,                0.58978,                0.91469,                 1.4077,                0.65022,                0.91291,                0.68013,                0.72741,                0.70722,                0.45322,                 1.2191,                0.61527,                0.93094,                 1.3918,                0.63008,                0.93673,              8.713e-05,              8.713e-05,              8.713e-05
                     42,                 1.1524,                 0.5915,                0.92115,                 1.4006,                0.63996,                0.91896,                0.81864,                0.73414,                0.77588,                0.46654,                 1.2313,                0.60493,                0.92852,                 1.4161,                 0.6248,                0.93582,               8.68e-05,               8.68e-05,               8.68e-05
                     43,                 1.1347,                0.58092,                0.91583,                 1.3849,                0.63717,                0.91252,                0.83918,                0.68498,                0.73496,                0.44284,                 1.2247,                0.60483,                0.93228,                 1.3947,                0.63198,                0.93588,              8.647e-05,              8.647e-05,              8.647e-05
