                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9727,                 2.0702,                 1.2605,                 2.0601,                 3.8995,                  1.247,                      0,                      0,                      0,                      0,                 4.8399,             3.7728e+06,                 2402.5,                  5.755,             3.6891e+07,                 3189.3,               0.070545,              0.0032727,              0.0032727
                      2,                 1.8605,                  1.343,                 1.2259,                 2.0722,                 1.7091,                 1.2536,                  3e-05,                0.00917,                  2e-05,                      0,                      0,             3.3087e+05,                      0,                      0,                0.00168,                      0,               0.040513,              0.0065734,              0.0065734
                      3,                 1.6982,                 1.2308,                 1.1603,                 1.9093,                 1.5989,                 1.1956,                0.66861,                0.61468,                0.62014,                0.20797,                 2.1949,                  8.611,                 1.8217,                 2.4202,                 7.1683,                 2.0644,               0.010447,               0.009841,               0.009841
                      4,                 1.6684,                 1.1655,                 1.1612,                 1.9466,                 1.4121,                 1.1787,                0.58029,                0.84988,                 0.7493,                0.37361,                 1.5043,                  10.17,                 1.1835,                 1.7266,                 8.9782,                 1.3936,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5751,                 1.0585,                 1.0992,                 1.8613,                  1.253,                 1.1208,                 0.8214,                0.67513,                0.75626,                0.31858,                 1.4996,                 3.1101,                 1.1946,                 2.0166,                  6.808,                 1.2833,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.5091,                0.94752,                 1.0974,                 1.7418,                 1.1247,                 1.1208,                0.86056,                0.79267,                0.87778,                0.45581,                 1.3988,                 1.0708,                 1.1491,                 1.7619,                 1.0532,                 1.1865,               0.009802,               0.009802,               0.009802
                      7,                 1.4774,                0.92565,                 1.0734,                 1.7156,                 1.1433,                 1.0944,                0.83684,                0.85321,                0.88541,                  0.513,                 1.4792,                 1.0705,                 1.1632,                 1.4971,                0.86247,                 1.1633,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.4869,                0.93849,                 1.0837,                 1.6993,                 1.0159,                 1.0992,                0.85606,                0.83486,                0.85265,                0.47759,                 1.3414,                0.93834,                 1.0993,                 1.4097,                 1.1309,                 1.1777,               0.009703,               0.009703,               0.009703
                      9,                 1.3602,                0.87342,                 1.0447,                 1.6092,                 0.9601,                 1.0743,                0.98543,                0.74312,                0.89445,                0.51617,                 1.2499,                0.92949,                 1.0457,                 1.5217,                  1.327,                 1.1171,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3554,                0.84918,                 1.0258,                  1.593,                0.95684,                 1.0542,                0.88013,                0.53893,                0.63509,                0.40514,                 1.3544,                 1.9242,                 1.1728,                 1.4413,                 1.7729,                 1.1477,               0.009604,               0.009604,               0.009604
                     11,                 1.3714,                0.82593,                 1.0486,                  1.596,                0.88552,                 1.0764,                0.90874,                0.82224,                0.89404,                0.54931,                 1.1778,                0.95111,                 1.0194,                 1.4157,                 1.6452,                 1.0566,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2983,                0.81249,                 1.0213,                 1.5818,                0.90991,                 1.0512,                0.96205,                0.89908,                 0.9377,                0.60079,                 1.1751,                0.75106,                 1.0328,                  1.376,                0.60701,                 1.0602,               0.009505,               0.009505,               0.009505
                     13,                 1.2754,                0.80175,                 1.0046,                 1.5091,                0.88611,                 1.0171,                0.96983,                0.88479,                 0.9306,                0.58121,                 1.1344,                0.77589,                 1.0258,                 1.4219,                0.96158,                 1.0858,              0.0094555,              0.0094555,              0.0094555
                     14,                   1.26,                0.80212,                 1.0074,                 1.4915,                0.82554,                 1.0278,                 0.9098,                0.92532,                0.93476,                0.63448,                 1.0691,                0.65795,                0.98996,                  1.209,                0.57922,                 1.0004,               0.009406,               0.009406,               0.009406
                     15,                 1.2712,                0.76824,                 1.0043,                 1.4975,                0.81452,                 1.0202,                0.93971,                0.82569,                0.91076,                0.57982,                 1.1075,                0.70116,                 1.0275,                 1.3019,                0.76054,                 1.0371,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2768,                0.75346,                 1.0341,                 1.5044,                0.81888,                 1.0443,                0.94845,                0.88991,                 0.9422,                0.65806,                 1.0576,                0.68023,                 0.9756,                 1.1337,                0.68664,                0.96862,               0.009307,               0.009307,               0.009307
                     17,                 1.2597,                0.76893,                 1.0086,                 1.4922,                   0.78,                 1.0285,                 0.9516,                0.89908,                0.93494,                0.62393,                 1.0022,                0.67912,                0.97436,                 1.2045,                0.72912,                0.97372,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2907,                0.75606,                 1.0019,                 1.5167,                0.80175,                 1.0232,                0.94149,                0.88583,                0.93786,                0.62405,                 1.1238,                0.83596,                0.99904,                 1.2736,                0.88749,                 1.0239,               0.009208,               0.009208,               0.009208
                     19,                 1.2461,                0.75295,                0.99421,                  1.472,                 0.7839,                 1.0056,                0.98967,                0.87914,                0.93807,                0.65565,                  1.009,                0.66056,                0.97367,                 1.1111,                0.47853,                0.99161,              0.0091585,              0.0091585,              0.0091585
                     20,                  1.194,                0.70455,                0.99295,                 1.4341,                 0.7493,                 1.0137,                0.98075,                0.93478,                0.93621,                0.66329,                 1.0254,                0.67346,                0.97222,                 1.1692,                0.46143,                0.98732,               0.009109,               0.009109,               0.009109
                     21,                 1.2189,                0.72992,                0.99077,                 1.4579,                0.74451,                 1.0116,                0.95193,                0.89908,                0.93905,                0.61282,                 1.1185,                0.72889,                0.98478,                 1.2422,                0.65047,                 1.0264,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2544,                0.73958,                0.99996,                 1.4547,                 0.7622,                 1.0093,                0.89433,                0.85416,                0.92567,                0.60084,                 1.1247,                0.91093,                0.99585,                 1.3086,                0.84827,                  1.015,                0.00901,                0.00901,                0.00901
                     23,                 1.2464,                0.71829,                0.98859,                 1.4156,                0.72079,                0.99767,                0.94937,                0.86025,                0.93341,                0.62205,                 1.0124,                0.61823,                0.96948,                 1.1761,                0.55102,                0.98606,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.1673,                0.70317,                0.99115,                 1.3548,                0.75067,                 1.0067,                0.92722,                0.90826,                0.94062,                 0.6465,                0.98324,                0.61334,                0.94923,                 1.1831,                0.54851,                0.96495,               0.008911,               0.008911,               0.008911
                     25,                 1.1024,                0.64513,                 0.9607,                 1.3349,                 0.7028,                0.98488,                0.93341,                0.88991,                0.93416,                0.63861,                 1.0093,                0.55664,                 0.9524,                 1.1985,                0.49415,                0.98401,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1221,                 0.6599,                0.97186,                 1.3418,                0.67611,                0.98994,                0.96991,                0.88712,                0.94025,                0.63248,                 1.0868,                0.80351,                0.99557,                 1.2233,                0.81608,                  1.005,               0.008812,               0.008812,               0.008812
