                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1014,                 4.2146,                 1.1526,                 3.2306,                 5.4803,                 1.1173,                0.00056,                0.16279,                0.00033,                  9e-05,                 4.1966,                   3862,                 3.3041,                 4.0464,                  32428,                 3.2676,               0.070278,              0.0033025,              0.0033025
                      2,                 3.0287,                 3.0381,                 1.1134,                  3.151,                 3.2642,                 1.0926,                0.00056,                0.16279,                0.00033,                  9e-05,                 2.2614,                 11.302,                 1.4009,                 4.2702,                 11.915,                 4.4216,               0.040245,               0.006603,               0.006603
                      3,                 2.8774,                 2.8849,                  1.069,                 2.9601,                 2.9906,                 1.0478,                0.25717,                0.16744,                0.11367,                0.02349,                 3.0649,                 9.2266,                  1.181,                 3.0973,                 5.1154,                  1.145,               0.010179,              0.0098704,              0.0098704
                      4,                 2.8206,                  2.689,                 1.0535,                 2.8872,                 2.8319,                 1.0523,                0.78012,                0.03721,                0.12433,                0.03713,                 3.2959,                 4.2375,                 1.1986,                 3.0989,                  4.991,                 1.1332,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.5864,                  2.483,                 1.0252,                 2.6691,                 2.6761,                 1.0082,                0.14542,                0.04186,                0.03279,                0.00648,                 2.4219,                  8.293,                 24.429,                 3.0039,                 9.5093,                 17.313,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.6402,                 2.5078,                 1.0146,                 2.6535,                 2.7355,                0.99834,                0.48755,                0.35814,                 0.3428,                0.12079,                 2.5472,                 3.1407,                 1.0499,                 2.4961,                 3.1984,                 1.0018,               0.009802,               0.009802,               0.009802
                      7,                 2.5305,                 2.3213,                 1.0026,                 2.6107,                 2.5484,                0.98822,                0.56405,                0.35814,                0.40648,                0.13849,                 2.5279,                  2.474,                 1.0232,                 2.5417,                 2.9179,                 1.0108,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.5296,                 2.3499,                 1.0019,                 2.6044,                 2.5079,                0.98612,                0.48622,                0.10698,                0.10049,                0.03308,                 2.6225,                 2.7264,                 72.538,                 3.3016,                 5.0629,                  19.39,               0.009703,               0.009703,               0.009703
                      9,                 2.4734,                 2.2268,                0.98803,                 2.6229,                 2.4412,                0.98941,                0.65406,                0.15349,                0.15113,                0.04946,                 3.0636,                 4.0408,                 1.1311,                 3.0263,                 4.2223,                 1.1188,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.4044,                 2.0762,                0.97727,                 2.4832,                 2.3211,                0.96446,                0.41594,                0.30233,                0.21474,                0.07825,                 2.7123,                 4.2462,                 1.3735,                 2.7825,                 3.9521,                 1.1813,               0.009604,               0.009604,               0.009604
